,ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,likes_people,keep_in,prob_likes,labels,age_interval
1676,516,0,7.08,male,Unknown Mix,2013-02-13,2013-05-15,2013-04-29,brown,medium,medium,unknow,yes,both flat and garden,0.8971977636782473,5,Young
1677,507,0,8.92,female,German Shepherd Dog Mix,2012-12-04,2013-05-01,2013-04-21,saddle back,short,medium,yes,yes,both flat and garden,0.9856849420602043,10,Middle_age
1678,920,0,14.67,female,Unknown Mix,2013-04-08,2013-04-08,2013-05-07,black and white,short,small,yes,yes,flat,0.970607327830091,8,Old
1679,6395,1,6.92,female,Unknown Mix,2013-05-11,2013-05-11,2013-05-23,brown,medium,small,unknow,no,both flat and garden,0.21275206294508162,2,Young
1680,351,0,8.75,male,Unknown Mix,2013-01-01,2013-01-01,2013-03-29,yellow-brown,short,medium,unknow,no,unknow,0.49946313276331106,3,Middle_age
1681,354,0,9.92,female,Cocker Spaniel,2013-03-01,2013-03-01,2013-03-31,black and brown,medium,medium,unknow,yes,unknow,0.7105029322877214,3,Middle_age
1682,364,0,13.92,female,Unknown Mix,2013-04-10,2013-04-10,2013-04-10,sable,short,medium,unknow,no,unknow,0.5096933068417753,3,Old
1683,360,0,7.5,female,Dachshund Mix,2013-04-05,2013-04-05,2013-04-06,brown,short,medium,unknow,no,unknow,0.2339697646737569,2,Young
1684,2177,0,9.0,female,Unknown Mix,2013-01-26,2013-01-26,2013-04-06,brown and white,short,medium,unknow,yes,both flat and garden,0.9860880729707754,10,Middle_age
1685,366,0,7.83,female,Terrier Mix,2013-04-15,2013-04-15,2013-04-16,gray and black,medium,medium,unknow,yes,unknow,0.5029754053409307,3,Young
1686,355,0,7.75,female,Unknown Mix,2013-04-03,2013-04-03,2013-04-05,black,medium,medium,unknow,no,unknow,0.30139879182614,2,Young
1687,377,0,8.92,male,Pekingese Mix,2013-04-11,2013-04-11,2013-04-18,brown,short,small,unknow,yes,unknow,0.6510448049539147,3,Middle_age
1688,362,0,15.92,female,Beagle,2013-04-05,2013-04-05,2013-04-07,tricolor,short,medium,unknow,yes,unknow,0.9474614234498681,6,Old
1689,371,0,7.92,female,Unknown Mix,2013-04-15,2013-04-15,2013-04-16,black,short,medium,unknow,yes,unknow,0.6108885691938974,3,Young
1690,1937,0,12.58,male,Dachshund Mix,2013-04-16,2013-04-16,2013-04-17,black and brown,wirehaired,medium,unknow,yes,garden,0.8670882825677865,4,Old
1691,368,0,7.67,female,Dachshund Mix,2013-04-15,2013-04-15,2013-04-16,black,short,medium,unknow,yes,unknow,0.7199684671261347,4,Young
1692,348,0,7.92,female,Unknown Mix,2013-03-26,2013-03-26,2013-03-27,sable,short,medium,unknow,no,unknow,0.766444990534979,4,Young
1693,378,0,9.83,male,Puli Mix,2013-04-18,2013-04-18,2013-04-18,black,long,medium,unknow,yes,unknow,0.5084748310444857,3,Middle_age
1694,82,0,8.08,female,"Kuvasz, Labrador Retriever Mix",2013-04-02,2013-04-02,2013-04-02,brown and white,short,large,no,yes,both flat and garden,0.9552811496577596,7,Young
1695,367,0,9.92,male,Unknown Mix,2013-04-15,2013-04-15,2013-04-16,spotty,short,medium,unknow,no,unknow,0.32273186704084694,2,Middle_age
1696,18,0,15.67,male,Unknown Mix,2013-03-15,2013-03-15,2013-04-05,black and brown,short,medium,unknow,yes,both flat and garden,0.9617703363983018,7,Old
